latitude,longtitude,number
30.34,104.48,1
57.01408507,9.984609042,2
49.03158493,12.12746525,18
52.02,8.53,5
48.3897972,11.6462715,5
50.6795,12.0941,2
49.9617,7.7172,1
59.8833,18.0333,1
59.858562,17.638927,1
51.43421505,7.664562159,6
46.15,20.1,10
30.7,120.39,1
40.538569,22.999375,8
43.0339,-89.3564,6
30.67,104.06,3
55.788338,12.526485,13
55.78829,12.52682,8
46.54,19.41,8
20.05,110.1,4
46.17,20.08,4
50.93547656,6.96755218,3
55.78833472,12.52667273,9
41.6109,0.6419,3
30.67,104.1,1
30.67,104.11,1
30.67,104.12,1
30.67,104.13,1
30.67,104.09,1
30.67,104.14,1
47.653191,-122.305865,8
40.00909567,116.3441678,9
31.22,117.37,1
39.65,116.02,1
29.87,118.36,2
39.67,116.02,1
34.23,109.3,1
23.62,104.27,1
40.24,116.78,1
23.34,110.11,1
29.55,104.12,1
40.19,116.81,1
23.53,104.04,1
34.25,109.44,1
33.37,111.36,1
45.46,131.6,1
41.38,123.35,1
29.48,103.63,1
42.33,123.08,1
33.34,111.46,1
44.55,129.69,1
32.82,119.69,2
32.09,117.44,1
39.66,116.45,1
32.89,117.5,1
34.87,110.53,1
35.03,110.43,1
31.53,121.65,1
31.56,121.68,2
31.61,121.61,1
32.01,119.45,1
27.86,115.11,1
27.84,115.09,1
30.47,104.43,1
37.75,120.71,2
30.5,104.43,1
39.64,116.06,1
39.69,116.57,1
24.8,103.43,1
34.19,109.33,1
34.28,109.38,1
36.19,111.59,1
36.18,111.57,1
32.78,119.51,1
25.48,107.84,1
33.02,119.55,1
32.74,119.69,1
23.22,108.1,2
25.56,107.93,1
25.39,107.93,1
31.47,119.9,1
31.77,120.18,1
25.68333349,-100.3227508,5
